CPC4	title
A46B	BRUSHES 
A46D	MANUFACTURE OF BRUSHES
A47B	TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE 
A47C	CHAIRS ; SOFAS; BEDS 
A47D	FURNITURE SPECIALLY ADAPTED FOR CHILDREN 
A47F	SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS OR THE LIKE; PAYING COUNTERS
A47G	HOUSEHOLD OR TABLE EQUIPMENT 
A47H	FURNISHINGS FOR WINDOWS OR DOORS 
A47J	KITCHEN EQUIPMENT ; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES 
A47K	SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR ; TOILET ACCESSORIES 
A47L	DOMESTIC WASHING OR CLEANING ; SUCTION CLEANERS IN GENERAL 
A61B	DIAGNOSIS; SURGERY; IDENTIFICATION 
A61C	DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE 
A61D	VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS
A61F	FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS 
A61G	TRANSPORT OR ACCOMODATION FOR PATIENTS; OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES 
A61H	PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY 
A61J	CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORT
A61K	PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES 
A61L	METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR
A61M	DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR
A61N	ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY 
A61Q	SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS
A62B	DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING ; B64D17/00, B64D25/10
A62C	FIRE-FIGHTING 
A62D	CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING OR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS
A63B	APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT 
A63C	SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE 
A63D	BOWLING-ALLEYS; BOWLING GAMES; BOCCIA; BOWLS; BAGATELLE; BILLIARDS 
A63F	CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR
A63G	MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES; CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT
A63H	TOYS, e.g. TOPS, DOLLS, HOOPS, BUILDING BLOCKS
A63J	DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE; CONJURING APPLIANCES OR THE LIKE
A63K	RACING; RIDING SPORTS; EQUIPMENT OR ACCESSORIES THEREFOR 
B01B	BOILING; BOILING APPARATUS; ; EVAPORATION; EVAPORATION APPARATUS
B01D	SEPARATION 
B01F	MIXING, e.g. DISSOLVING, EMULSIFYING, DISPERSING 
B01J	CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS, COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS 
B01L	CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE 
B02B	PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE 
B02C	CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL; MILLING GRAIN 
B03B	SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS 
B03C	MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS 
B03D	FLOTATION; DIFFERENTIAL SEDIMENTATION 
B04B	CENTRIFUGES 
B04C	APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES 
B05B	SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES 
B05C	APPARATUS FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL 
B05D	PROCESSES FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL 
B06B	METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY, ; e.g.;  FOR PERFORMING MECHANICAL WORK IN GENERAL ;  H04R
B07B	SEPERATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, OR SIFTING OR BY USING GAS CURRENTS; OTHER SEPARATING BY DRY METHODS APPLICABLE TO BULK MATERIAL, e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIAL 
B07C	POSTAL SORTING; SORTING INDIVIDUAL ARTICLES, OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL, e.g. BY PICKING 
B08B	CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL 
B09B	DISPOSAL OF SOLID WASTE
B09C	RECLAMATION OF CONTAMINATED SOIL 
B21B	ROLLING OF METAL 
B21C	MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES OR PROFILES, OTHERWISE THAN BY ROLLING; AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL
B21D	WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL 
B21F	WORKING OR PROCESSING OF METAL WIRE 
B21G	MAKING NEEDLES, PINS OR NAILS OF METAL
B21H	MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS 
B21J	FORGING; HAMMERING; PRESSING METAL; RIVETING; FORGE FURNACES 
B21K	MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS 
B21L	MAKING METAL CHAINS 
B22C	FOUNDRY MOULDING 
B22D	CASTING OF METALS; CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES 
B22F	WORKING METALLIC POWDER; MANUFACTURE OF ARTICLES FROM METALLIC POWDER; MAKING METALLIC POWDER 
B23B	TURNING; BORING 
B23C	MILLING 
B23D	PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FOR 
B23F	MAKING GEARS OR TOOTHED RACKS 
B23G	THREAD CUTTING; WORKING OF SCREWS, BOLT HEADS, OR NUTS, IN CONJUNCTION THEREWITH 
B23H	WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL; SUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METAL 
B23K	SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTING; WORKING BY LASER BEAM 
B23P	OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS 
B23Q	DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING ; MACHINE TOOLS IN GENERAL CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NO
B24B	MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING ; DRESSING OR CONDITIONING OF ABRADING SURFACES; FEEDING OF GRINDING, POLISHING, OR LAPPING AGENTS
B24C	ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
B24D	TOOLS FOR GRINDING, BUFFING, OR SHARPENING 
B25B	
B25C	HAND-HELD NAILING OR STAPLING TOOLS; MANUALLY OPERATED PORTABLE STAPLING TOOLS 
B25D	PERCUSSIVE TOOLS 
B25F	COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR; DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR 
B25G	HANDLES FOR HAND IMPLEMENTS 
B25H	WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK; STORAGE MEANS FOR WORKSHOPS 
B25J	MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES 
B26B	HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR 
B26D	CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERING 
B26F	PERFORATING; PUNCHING; CUTTING-OUT; STAMPING-OUT; SEVERING BY MEANS OTHER THAN CUTTING 
B27B	SAWS FOR WOOD OR SIMILAR MATERIAL; COMPONENTS OR ACCESSORIES THEREFOR 
B27C	PLANING, DRILLING, MILLING, TURNING OR UNIVERSAL MACHINES FOR WOOD OR SIMILAR MATERIAL 
B27D	WORKING VENEER OR PLYWOOD 
B27F	DOVETAILED WORK; TENONS; SLOTTING MACHINES FOR WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES 
B27G	ACCESSORY MACHINES OR APPARATUS; TOOLS; SAFETY DEVICES, e.g. THOSE FOR SAWS 
B27H	BENDING WOOD OR SIMILAR MATERIAL; COOPERAGE; MAKING WHEELS FROM WOOD OR SIMILAR MATERIAL
B27J	MECHANICAL WORKING OF CANE, CORK, OR SIMILAR MATERIALS
B27K	PROCESSES, APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING, STAINING, DYEING, BLEACHING OF WOOD OR SIMILAR MATERIALS, OR TREATING OF WOOD OR SIMILAR MATERIALS WITH PERMEANT LIQUIDS, NOT OTHERWISE PROVIDED FOR ; CHEMICAL OR PHYSICAL TREATMENT OF CORK,
B27L	REMOVING BARK OR VESTIGES OF BRANCHES ; SPLITTING WOOD; MANUFACTURE OF VENEER, WOODEN STICKS, WOOD SHAVINGS, WOOD FIBRES OR WOOD POWDER
B27M	WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES B27B - B27L; MANUFACTURE OF SPECIFIC WOODEN ARTICLES
B27N	MANUFACTURE BY DRY PROCESSES OF ARTICLES, WITH OR WITHOUT ORGANIC BINDING AGENTS, MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL 
B28B	SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS, SLAG, OR MIXTURES CONTAINING CEMENTITIOUS MATERIAL, e.g. PLASTER 
B28C	PREPARING CLAY; PRODUCING MIXTURES CONTAINING CLAY OR CEMENTITIOUS MATERIAL, e.g. PLASTER 
B28D	WORKING STONE OR STONE-LIKE MATERIALS
B29B	PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED; MAKING GRANULES OR PREFORMS; RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS
B29C	SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING 
B29D	PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE 
B29K	INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS
B29L	INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES
B30B	PRESSES IN GENERAL 
B31B	MAKING CONTAINERS OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER 
B31C	MAKING WOUND ARTICLES, e.g. WOUND TUBES, OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER
B31D	MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER, NOT PROVIDED FOR IN SUBCLASSES B31B OR B31C 
B31F	MECHANICAL WORKING OR DEFORMATION OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER 
B32B	
B33Y	
B41B	MACHINES OR ACCESSORIES FOR MAKING, SETTING, OR DISTRIBUTING TYPE; TYPE; PHOTOGRAPHIC OR PHOTOELECTRIC COMPOSING DEVICES 
B41C	PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES 
B41D	APPARATUS FOR THE MECHANICAL REPRODUCTION OF PRINTING SURFACES FOR STEREOTYPE PRINTING; SHAPING ELASTIC OR DEFORMABLE MATERIAL TO FORM PRINTING SURFACES 
B41F	PRINTING MACHINES OR PRESSES ; B44D
B41G	AUXILIARY FOR PERFORATING IN CONJUNCTION WITH PRINTING 
B41J	TYPEWRITERS; SELECTIVE PRINTING MECHANISMS, ; e.g. INK-JET PRINTERS, THERMAL PRINTERS; CORRECTION OF TYPOGRAPHICAL ERRORS 
B41K	STAMPS; STAMPING OR NUMBERING APPARATUS OR DEVICES 
B41L	APPARATUS OR DEVICES FOR MANIFOLDING, DUPLICATING, OR PRINTING FOR OFFICE OR OTHER COMMERCIAL PURPOSES; ADDRESSING MACHINES OR LIKE SERIES-PRINTING MACHINES 
B41M	PRINTING, DUPLICATING, MARKING, OR COPYING PROCESSES; COLOUR PRINTING, 
B41N	PRINTING PLATES OR FOILS ; MATERIALS FOR SURFACES USED IN PRINTING MACHINES FOR PRINTING, INKING, DAMPING, OR THE LIKE; PREPARING SUCH SURFACES FOR USE AND CONSERVING THEM 
B41P	INDEXING SCHEME RELATING TO PRINTING, LINING MACHINES, TYPEWRITERS, AND TO STAMPS
B42B	PERMANENTLY ATTACHING TOGETHER SHEETS, QUIRES OR SIGNATURES OR PERMANENTLY ATTACHING OBJECTS THERETO 
B42C	BOOKBINDING 
B42D	BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER CHARACTERISED BY IDENTIFICATION OR SECURITY FEATURES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH AND NOT OTHERWISE PROVIDED FOR; MOVABLE-STRIP WRITING OR 
B42F	SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING 
B42P	INDEXING SCHEME RELATING TO BOOKS, FILING APPLIANCES OR THE LIKE
B43K	IMPLEMENTS FOR WRITING OR DRAWING 
B43L	ARTICLES FOR WRITING OR DRAWING UPON; ; WRITING OR DRAWING AIDS;;  ACCESSORIES FOR WRITING OR DRAWING 
B43M	BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR 
B44B	MACHINES, APPARATUS OR TOOLS FOR ARTISTIC WORK, e.g. FOR SCULPTURING, GUILLOCHING, CARVING, BRANDING, INLAYING 
B44C	PRODUCING DECORATIVE EFFECTS ; MOSAICS; TARSIA WORK ; PAPERHANGING 
B44D	PAINTING OR ARTISTIC DRAWING, NOT OTHERWISE PROVIDED FOR; PRESERVING PAINTINGS; SURFACE TREATMENT TO OBTAIN SPECIAL ARTISTIC SURFACE EFFECTS OR FINISHES 
B44F	SPECIAL DESIGNS OR PICTURES
B60B	VEHICLE WHEELS ; CASTORS; AXLES FOR WHEELS OR CASTORS; INCREASING WHEEL ADHESION
B60C	VEHICLE TYRES ; TYRE INFLATION; TYRE CHANGING OR REPAIRING; REPAIRING, OR CONNECTING VALVES TO, INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES 
B60D	VEHICLE CONNECTIONS 
B60F	VEHICLES FOR USE BOTH ON RAIL AND ON ROAD; AMPHIBIOUS OR LIKE VEHICLES; CONVERTIBLE VEHICLES 
B60G	VEHICLE SUSPENSION ARRANGEMENTS 
B60H	
B60J	WINDOWS, WINDSCREENS, NON-FIXED ROOFS, DOORS, OR SIMILAR DEVICES FOR VEHICLES; REMOVABLE EXTERNAL PROTECTIVE COVERINGS SPECIALLY ADAPTED FOR VEHICLES 
B60K	ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES; AUXILIARY DRIVES FOR VEHICLES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOL
B60L	ELECTRIC EQUIPMENT OR PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES; MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES; ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES, IN GENERAL 
B60M	POWER SUPPLY LINES, AND DEVICES ALONG RAILS, FOR ELECTRICALLY- PROPELLED VEHICLES 
B60N	
B60P	VEHICLES ADAPTED FOR LOAD TRANSPORTATION OR TO TRANSPORT, TO CARRY, OR TO COMPRISE SPECIAL LOADS OR OBJECTS 
B60Q	ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL
B60R	VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR
B60S	SERVICING, CLEANING, REPAIRING, SUPPORTING, LIFTING, OR MANOEUVRING OF VEHICLES, NOT OTHERWISE PROVIDED FOR
B60T	VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE 
B60V	AIR-CUSHION VEHICLES
B60W	CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT
B60Y	INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY
B61B	RAILWAY SYSTEMS; EQUIPMENT THEREFOR NOT OTHERWISE PROVIDED FOR 
B61C	LOCOMOTIVES; MOTOR RAILCARS 
B61D	BODY DETAILS OR KINDS OF RAILWAY VEHICLES 
B61F	RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES; RAIL VEHICLES FOR USE ON TRACKS OF DIFFERENT WIDTH; PREVENTING DERAILING OF RAIL VEHICLES; WHEEL GUARDS, OBSTRUCTION REMOVERS OR THE LIKE FOR RAIL VEHICLES 
B61G	COUPLINGS; DRAUGHT AND BUFFING APPLIANCES 
B61H	BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES; ARRANGEMENTS OR DISPOSITIONS OF BRAKES OR OTHER RETARDING APPARATUS IN RAIL VEHICLES 
B61J	SHIFTING OR SHUNTING OF RAIL VEHICLES 
B61K	OTHER AUXILIARY EQUIPMENT FOR RAILWAYS 
B61L	GUIDING RAILWAY TRAFFIC; ENSURING THE SAFETY OF RAILWAY TRAFFIC 
B62B	HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS; SLEDGES
B62C	VEHICLES DRAWN BY ANIMALS
B62D	MOTOR VEHICLES; TRAILERS 
B62H	CYCLE STANDS; SUPPORTS OR HOLDERS FOR PARKING OR STORING CYCLES; APPLIANCES PREVENTING OR INDICATING UNAUTHORIZED USE OR THEFT OF CYCLES; LOCKS INTEGRAL WITH CYCLES; DEVICES FOR LEARNING TO RIDE CYCLES
B62J	CYCLE SADDLES OR SEATS; ACCESSORIES PECULIAR TO CYCLES AND NOT OTHERWISE PROVIDED FOR, e.g. ARTICLE CARRIERS, CYCLE PROTECTORS
